Satellite,Date,Location,NDVI,SMI
AMSR-E,01/12/22,Dharmapuri,67.315377,135.9568691
Sentinel-2,01/01/22,Idukki,128.0091546,254.987812
SMAP,01/08/20,Mahbubnagar,70.58746505,144.181469
SMAP,01/04/23,Palakkad,43.44311047,76.43778944
MODIS,01/06/19,Ramanathapuram,14.52608633,30.31433296
AMSR-E,01/04/24,Anantapur,99.2340858,201.4772468
Landsat,01/12/24,Mahbubnagar,14.39250731,5.99178791
MODIS,01/10/22,Koppal,44.35794687,78.63040066
Landsat,01/10/20,Koppal,27.29061174,35.61714268
MODIS,01/06/21,Sivaganga,84.32518005,177.370579
SMAP,01/02/21,Vijayapura,45.59990954,93.49146438
AMSR-E,01/08/20,Ramanathapuram,3.621850729,0.088856936
Landsat,01/09/22,Chitradurga,145.4220974,254.9981332
Sentinel-2,01/12/19,Raichur,89.95276356,191.965168
Landsat,01/05/22,Vijayapura,55.07067561,113.5641282
MODIS,01/10/22,Mahbubnagar,134.1565995,240.2383354
AMSR-E,01/08/20,Vijayapura,15.98064232,20.35307455
SMAP,01/07/19,Chitradurga,33.10847569,50.51037097
Landsat,01/10/20,Ramanathapuram,128.8950059,245.8797128
AMSR-E,01/06/20,Kurnool,62.32066345,122.9925127
Sentinel-2,01/10/22,Kadapa,54.11955309,102.9012709
AMSR-E,01/06/19,Sivaganga,49.86653924,92.20166898
Sentinel-2,01/09/19,Anantapur,57.16017056,110.5703838
Landsat,01/07/24,Kadapa,11.33082962,1.725530624
SMAP,01/10/21,Idukki,55.54644394,105.3338151
MODIS,01/08/24,Anantapur,56.84338975,108.363847
MODIS,01/06/24,Kurnool,35.5033617,56.51800084
AMSR-E,01/09/23,Koppal,48.59092879,89.17242432
AMSR-E,01/05/23,Kadapa,22.47284603,23.88808489
SMAP,01/12/23,Chitradurga,58.94235206,114.8974025
Landsat,01/08/20,Anantapur,23.29605484,25.96087098
Sentinel-2,01/05/21,Anantapur,56.48174357,108.8255162
Landsat,01/11/22,Kurnool,52.75248384,99.6109457
SMAP,01/07/19,Ramanathapuram,21.1906848,37.45193815
MODIS,01/03/23,Vijayapura,48.82214546,97.57686114
MODIS,01/09/23,Anantapur,58.21252298,112.8444235
SMAP,01/11/21,Koppal,41.55324292,71.53901553
Landsat,01/07/19,Kadapa,51.21547413,94.79850817
MODIS,01/07/19,Kurnool,44.92349696,80.05923033
Landsat,01/02/23,Palakkad,106.8629594,234.3304951
Landsat,01/09/24,Dharmapuri,59.95386624,117.5381906
Landsat,01/06/21,Vijayapura,69.9905448,142.3671222
Sentinel-2,01/01/19,Chitradurga,15.82338691,7.846421003
Sentinel-2,01/10/21,Kurnool,34.36360788,53.50797153
AMSR-E,01/08/23,Idukki,8.71807766,1.601002455
SMAP,01/08/21,Raichur,105.5535007,213.3309259
AMSR-E,01/11/21,Dharmapuri,64.27213025,127.6151435
AMSR-E,01/05/23,Anantapur,57.54022646,110.4146969
Landsat,01/01/20,Chitradurga,131.4288414,254.9955232
Landsat,01/07/22,Sivaganga,31.01294088,45.24562383
Landsat,01/11/21,Palakkad,93.17739749,199.1039784
AMSR-E,01/05/20,Chitradurga,90.26177025,186.9636858
Sentinel-2,01/07/19,Ramanathapuram,21.1906848,37.45193815
SMAP,01/01/22,Vijayapura,86.95962715,180.1659181
SMAP,01/04/22,Sivaganga,44.54246163,78.88798571
MODIS,01/02/23,Chitradurga,70.34905958,141.7549629
MODIS,01/11/22,Idukki,128.5011377,254.9969823
Landsat,01/11/20,Idukki,68.48562098,137.6902058
AMSR-E,01/03/23,Raichur,5.176998615,9.437477112
SMAP,01/10/19,Palakkad,77.24295449,160.8509831
SMAP,01/12/20,Raichur,1.288466215,2.032655954
SMAP,01/04/22,Koppal,59.56362867,116.3184452
SMAP,01/08/22,Kadapa,26.07367229,32.95606208
SMAP,01/11/22,Palakkad,91.95081806,182.7306147
SMAP,01/08/24,Sivaganga,113.6105957,240.5868199
Sentinel-2,01/08/21,Idukki,159.1397738,254.8845139
SMAP,01/05/21,Raichur,22.05787325,23.08208847
Landsat,01/03/20,Raichur,28.95064569,40.08677268
Sentinel-2,01/01/19,Mahbubnagar,143.7772269,245.0050647
Landsat,01/12/22,Dharmapuri,67.315377,135.9568691
Sentinel-2,01/04/19,Dharmapuri,101.6485791,213.0743718
Sentinel-2,01/07/20,Kurnool,62.71714926,122.7826922
AMSR-E,01/06/24,Idukki,107.959492,236.5771792
AMSR-E,01/07/19,Koppal,66.65891862,133.711437
SMAP,01/07/24,Palakkad,141.0409095,247.6695588
SMAP,01/06/21,Anantapur,30.57919788,44.13929534
Landsat,01/04/21,Ramanathapuram,13.8933382,29.17869425
MODIS,01/02/23,Mahbubnagar,9.050707579,0.831854343
AMSR-E,01/05/20,Mahbubnagar,21.57602644,23.3671279
Landsat,01/09/19,Anantapur,57.16017056,110.5703838
SMAP,01/02/20,Palakkad,56.34726977,108.6250138
Sentinel-2,01/08/20,Anantapur,23.29605484,25.96087098
AMSR-E,01/07/20,Sivaganga,45.2382791,80.65101123
Landsat,01/05/21,Anantapur,56.48174357,108.8255162
Landsat,01/08/20,Vijayapura,15.98064232,20.35307455
AMSR-E,01/05/22,Vijayapura,55.07067561,113.5641282
MODIS,01/02/21,Ramanathapuram,18.71419835,14.29598379
MODIS,01/04/21,Idukki,33.5473094,51.61882424
Sentinel-2,01/01/20,Dharmapuri,129.4321048,254.9786522
Landsat,01/04/23,Idukki,23.30633664,25.99464679
SMAP,01/06/24,Kurnool,35.5033617,56.51800084
MODIS,01/12/19,Dharmapuri,32.0838964,47.91960287
Landsat,01/01/20,Mahbubnagar,72.63944387,149.0802464
Landsat,01/06/19,Kurnool,54.2872963,103.5104318
Landsat,01/11/23,Chitradurga,12.49468064,3.515169382
MODIS,01/04/19,Dharmapuri,101.6485791,213.0743718
AMSR-E,01/11/21,Anantapur,16.42647982,10.11293268
SMAP,01/10/21,Mahbubnagar,31.5560832,46.69713306
SMAP,01/07/23,Kurnool,108.4958971,205.565804
SMAP,01/10/24,Idukki,22.65475917,24.37736392
Landsat,01/01/22,Kurnool,131.2211404,254.9948239
SMAP,01/11/19,Koppal,74.43248653,153.6143675
Landsat,01/07/21,Kadapa,156.6772013,242.5311911
MODIS,01/12/20,Chitradurga,101.9846206,216.269984
MODIS,01/07/23,Kadapa,67.80621719,135.3165114
SMAP,01/10/20,Sivaganga,45.99623322,81.89200497
Sentinel-2,01/04/22,Ramanathapuram,5.730243683,1.486718655
SMAP,01/03/21,Dharmapuri,69.21964002,138.8673882
AMSR-E,01/10/19,Ramanathapuram,131.2984393,243.8314912
Sentinel-2,01/12/19,Sivaganga,68.08921432,137.8585923
AMSR-E,01/03/19,Sivaganga,88.21962905,179.4700081
Landsat,01/04/19,Chitradurga,64.78815961,129.4449408
Sentinel-2,01/05/22,Raichur,50.03586078,92.86768389
Sentinel-2,01/07/23,Koppal,26.10693121,32.55912566
MODIS,01/03/21,Sivaganga,16.86305285,9.839057922
Sentinel-2,01/12/19,Dharmapuri,32.0838964,47.91960287
SMAP,01/04/22,Ramanathapuram,5.730243683,1.486718655
MODIS,01/01/20,Dharmapuri,129.4321048,254.9786522
SMAP,01/08/22,Palakkad,48.99391603,90.01292014
SMAP,01/11/24,Mahbubnagar,46.36385751,83.67265487
Landsat,01/08/19,Ramanathapuram,44.41495132,78.37273908
Landsat,01/04/22,Dharmapuri,26.10212517,33.30462861
AMSR-E,01/09/20,Dharmapuri,11.85519242,3.618659973
AMSR-E,01/01/24,Anantapur,74.87617517,154.6521783
Sentinel-2,01/10/24,Anantapur,44.99543476,79.95588064
AMSR-E,01/12/22,Koppal,127.9149039,254.9856596
Sentinel-2,01/02/19,Raichur,22.43648744,46.34245133
Sentinel-2,01/04/20,Chitradurga,39.31233859,65.95881224
MODIS,01/08/23,Mahbubnagar,97.63313246,209.3815174
MODIS,01/11/19,Anantapur,36.61460495,59.17160225
SMAP,01/01/24,Kadapa,127.9828072,254.9890039
SMAP,01/05/23,Palakkad,45.06795716,80.32239294
SMAP,01/03/23,Koppal,34.99074697,72.35038137
SMAP,01/12/23,Anantapur,129.6506763,254.9981761
SMAP,01/08/19,Dharmapuri,97.13324714,206.2248914
Landsat,01/04/19,Mahbubnagar,99.98212361,204.5022717
AMSR-E,01/02/24,Raichur,4.734808683,7.756639957
MODIS,01/12/20,Mahbubnagar,80.9309485,168.5129657
Landsat,01/08/21,Palakkad,118.9644141,253.147197
Landsat,01/11/23,Anantapur,33.92993593,52.36479783
Sentinel-2,01/12/23,Raichur,6.319948912,12.26049018
SMAP,01/10/21,Chitradurga,130.2675302,254.9981761
Landsat,01/12/22,Kadapa,37.25426984,60.69662333
Sentinel-2,01/02/22,Sivaganga,46.08258653,82.91900206
MODIS,01/12/20,Kadapa,178.0139771,252.9564877
Sentinel-2,01/05/24,Kadapa,103.1818304,214.2312174
Landsat,01/11/23,Mahbubnagar,73.76936555,152.0368218
AMSR-E,01/07/21,Dharmapuri,25.34305215,31.00366926
Landsat,01/05/20,Palakkad,39.51576924,66.36049962
Sentinel-2,01/09/24,Koppal,61.1503408,120.7530689
Sentinel-2,01/08/19,Idukki,150.0750909,252.2461748
MODIS,01/02/20,Raichur,29.79304647,50.81166387
Sentinel-2,01/03/23,Vijayapura,48.82214546,97.57686114
SMAP,01/09/19,Palakkad,71.4129591,146.1866798
AMSR-E,01/08/24,Vijayapura,94.37315655,200.8247211
Sentinel-2,01/12/20,Koppal,41.71092105,72.05892444
MODIS,01/08/23,Chitradurga,116.7226377,250.9181061
MODIS,01/09/24,Kadapa,29.32405019,41.05702591
MODIS,01/04/19,Idukki,45.89356089,85.66819763
MODIS,01/05/24,Koppal,13.54622078,4.713387489
Sentinel-2,01/04/20,Mahbubnagar,11.11392069,1.716531754
Sentinel-2,01/08/22,Raichur,130.8012006,254.9968746
MODIS,01/01/22,Anantapur,132.9735994,254.9965341
SMAP,01/11/24,Chitradurga,22.88733697,24.82815266
Landsat,01/10/21,Vijayapura,46.92262006,85.03920197
AMSR-E,01/07/21,Koppal,46.62516665,83.17868471
AMSR-E,01/01/21,Kurnool,62.48173189,123.3221028
Landsat,01/03/22,Idukki,3.857799053,0.084993839
MODIS,01/03/20,Idukki,59.83946705,120.0218806
SMAP,01/10/22,Kurnool,135.819773,254.9977143
MODIS,01/11/23,Ramanathapuram,11.98858523,3.694566727
SMAP,01/05/20,Mahbubnagar,21.57602644,23.3671279
MODIS,01/08/20,Vijayapura,15.98064232,20.35307455
Landsat,01/12/19,Dharmapuri,32.0838964,47.91960287
MODIS,01/02/24,Anantapur,11.20074534,2.301413774
SMAP,01/06/23,Palakkad,27.39414525,36.40559006
SMAP,01/12/19,Ramanathapuram,194.1062243,254.9406104
Sentinel-2,01/11/21,Sivaganga,16.55336428,13.21096945
Landsat,01/04/22,Chitradurga,98.01213861,203.6914222
Landsat,01/02/20,Anantapur,20.2149992,19.79029751
Sentinel-2,01/04/22,Dharmapuri,26.10212517,33.30462861
SMAP,01/09/24,Idukki,83.71404719,176.9590662
SMAP,01/08/19,Koppal,77.94825363,159.4500282
Landsat,01/12/21,Koppal,77.10478497,157.0844212
SMAP,01/04/19,Kadapa,98.55168176,205.3810289
MODIS,01/12/23,Koppal,28.26101971,37.90616608
AMSR-E,01/12/19,Anantapur,43.72918057,76.75118709
Sentinel-2,01/03/19,Anantapur,10.98134184,2.174295902
Sentinel-2,01/03/23,Kurnool,84.50428128,175.899545
Sentinel-2,01/03/23,Idukki,34.45902753,53.65703416
SMAP,01/03/20,Kadapa,34.98271012,54.92661715
Sentinel-2,01/10/24,Chitradurga,91.44676971,193.0639272
MODIS,01/07/21,Chitradurga,12.99974084,4.567025661
SMAP,01/10/23,Dharmapuri,38.36945057,63.58105588
SMAP,01/01/20,Anantapur,85.56263757,175.8128667
Sentinel-2,01/02/20,Ramanathapuram,38.2577877,62.82426524
Sentinel-2,01/01/24,Sivaganga,66.67023015,134.3616984
Landsat,01/07/23,Raichur,20.24017715,18.50825572
AMSR-E,01/10/24,Sivaganga,41.93078756,72.54535174
SMAP,01/02/20,Ramanathapuram,38.2577877,62.82426524
AMSR-E,01/05/19,Vijayapura,91.91851807,193.7513118
MODIS,01/12/22,Dharmapuri,67.315377,135.9568691
SMAP,01/06/19,Raichur,81.08669281,170.4545286
MODIS,01/12/21,Anantapur,64.29563284,128.3053231
AMSR-E,01/07/22,Kadapa,92.59270048,194.9354601
SMAP,01/12/20,Idukki,66.38529301,133.0883179
SMAP,01/05/24,Dharmapuri,16.27795959,10.94220257
MODIS,01/09/21,Kurnool,81.38267684,171.0462651
AMSR-E,01/06/22,Ramanathapuram,11.69000125,3.586014986
MODIS,01/06/24,Chitradurga,69.27594948,140.8622489
Sentinel-2,01/11/21,Chitradurga,97.32087183,210.5826406
AMSR-E,01/10/21,Raichur,0.403470516,0.202511311
Sentinel-2,01/12/23,Kadapa,66.0219276,132.6946549
SMAP,01/01/22,Raichur,21.14704466,20.48890591
Sentinel-2,01/12/19,Ramanathapuram,194.1062243,254.9406104
Landsat,01/06/24,Ramanathapuram,33.17938566,50.66415119
AMSR-E,01/03/21,Idukki,75.2936914,154.8161793
MODIS,01/07/21,Mahbubnagar,48.7118423,89.15389156
SMAP,01/04/20,Vijayapura,27.4371922,36.42659903
Sentinel-2,01/10/24,Mahbubnagar,13.29124856,3.881085396
Sentinel-2,01/10/24,Koppal,61.1503408,120.7530689
Sentinel-2,01/11/19,Idukki,45.67899156,81.85518122
Landsat,01/07/22,Koppal,74.81686687,153.7074192
AMSR-E,01/07/20,Raichur,1.72841835,2.395029545
MODIS,01/07/20,Koppal,56.93147945,109.0949318
SMAP,01/03/23,Sivaganga,97.66019773,211.6335754
Landsat,01/04/22,Mahbubnagar,96.5343411,199.3800833
Landsat,01/10/22,Raichur,57.94348884,112.2866137
Sentinel-2,01/10/21,Vijayapura,46.92262006,85.03920197
MODIS,01/07/24,Raichur,26.98080468,35.3277719
AMSR-E,01/02/22,Anantapur,11.52152538,1.954964638
AMSR-E,01/09/21,Ramanathapuram,64.21013093,128.0316978
SMAP,01/05/20,Chitradurga,90.26177025,186.9636858
MODIS,01/01/24,Idukki,37.47184467,61.23532438
Landsat,01/11/21,Ramanathapuram,129.4207346,246.8997915
Sentinel-2,01/11/21,Mahbubnagar,32.01887679,47.78021622
MODIS,01/06/24,Mahbubnagar,25.70079446,33.38714695
Landsat,01/03/24,Palakkad,72.28708196,146.8569443
SMAP,01/01/19,Vijayapura,48.02087975,100.540576
AMSR-E,01/12/21,Kadapa,129.9777355,254.9667385
MODIS,01/04/21,Kurnool,8.320924044,0.088487864
Landsat,01/06/20,Palakkad,49.70097041,92.01550126
MODIS,01/09/24,Dharmapuri,59.95386624,117.5381906
MODIS,01/06/21,Vijayapura,69.9905448,142.3671222
SMAP,01/07/23,Idukki,23.2177155,25.76513147
MODIS,01/10/24,Kadapa,155.0838571,242.187619
AMSR-E,01/01/24,Dharmapuri,130.4486263,254.9976754
Sentinel-2,01/07/20,Kadapa,58.00481772,109.5448327
MODIS,01/10/22,Sivaganga,16.76328444,9.703819513
Landsat,01/03/23,Vijayapura,48.82214546,97.57686114
AMSR-E,01/11/23,Idukki,31.05919123,44.96914768
AMSR-E,01/05/22,Kurnool,107.1321001,223.1388338
MODIS,01/06/23,Anantapur,17.65870929,13.09255147
MODIS,01/10/21,Vijayapura,46.92262006,85.03920197
SMAP,01/08/22,Dharmapuri,75.76236844,153.596348
Landsat,01/12/20,Kurnool,38.94117975,65.05671382
Sentinel-2,01/04/22,Idukki,19.24372005,15.66482568
Sentinel-2,01/11/22,Ramanathapuram,44.35528564,78.79572439
Landsat,01/12/19,Koppal,24.33999729,28.43103528
SMAP,01/04/21,Kadapa,78.7471149,163.2853839
Landsat,01/12/21,Palakkad,134.8962946,243.0574484
AMSR-E,01/02/19,Kurnool,58.6049087,114.3257627
SMAP,01/08/21,Koppal,124.603596,254.7323065
AMSR-E,01/11/24,Chitradurga,22.88733697,24.82815266
AMSR-E,01/05/19,Ramanathapuram,18.50662518,34.43100095
Sentinel-2,01/01/22,Chitradurga,50.37098384,93.17716861
Landsat,01/08/20,Idukki,152.6013205,251.7059581
MODIS,01/08/22,Idukki,45.30792904,80.96130204
MODIS,01/06/23,Raichur,1.480649948,0.464887142
Landsat,01/08/22,Sivaganga,128.1558354,236.9337924
Sentinel-2,01/09/24,Dharmapuri,59.95386624,117.5381906
AMSR-E,01/02/23,Dharmapuri,38.66163588,64.48947477
Sentinel-2,01/05/23,Sivaganga,44.43898463,78.7662909
SMAP,01/11/22,Ramanathapuram,44.35528564,78.79572439
Sentinel-2,01/06/21,Vijayapura,69.9905448,142.3671222
Landsat,01/08/21,Kurnool,95.62704062,206.2700102
Landsat,01/02/24,Kadapa,7.423508883,0.099629402
AMSR-E,01/10/21,Chitradurga,130.2675302,254.9981761
Landsat,01/01/23,Palakkad,34.20009947,53.15010309
SMAP,01/12/20,Vijayapura,36.82525754,67.55721807
Sentinel-2,01/01/22,Mahbubnagar,49.68156385,91.86527276
SMAP,01/07/24,Sivaganga,12.97966647,3.059156179
AMSR-E,01/04/20,Idukki,67.6132946,134.9564652
AMSR-E,01/11/24,Mahbubnagar,46.36385751,83.67265487
Landsat,01/04/24,Sivaganga,44.84931827,79.72568202
Sentinel-2,01/11/21,Idukki,128.715868,254.9965854
SMAP,01/04/24,Palakkad,18.3391881,15.88687992
Sentinel-2,01/01/21,Raichur,0.796085119,0.058611155
Landsat,01/06/24,Raichur,18.73137999,15.68811965
AMSR-E,01/02/24,Koppal,26.73463488,53.58543277
AMSR-E,01/03/19,Idukki,46.69458246,88.98183179
MODIS,01/04/22,Dharmapuri,26.10212517,33.30462861
Sentinel-2,01/08/20,Vijayapura,15.98064232,20.35307455
SMAP,01/01/20,Palakkad,101.6370525,206.7253225
AMSR-E,01/08/22,Kurnool,128.167717,254.9877818
MODIS,01/04/20,Sivaganga,59.09334731,115.3450966
MODIS,01/11/22,Raichur,13.73540068,6.004303455
Landsat,01/01/20,Dharmapuri,129.4321048,254.9786522
Sentinel-2,01/09/24,Ramanathapuram,21.35622168,42.66343498
SMAP,01/11/22,Kadapa,55.20169902,105.6725876
Sentinel-2,01/02/24,Kurnool,28.02592897,37.84679842
Landsat,01/06/19,Anantapur,36.58635259,59.29298377
Landsat,01/05/21,Kurnool,28.0339756,37.78228998
AMSR-E,01/10/21,Mahbubnagar,31.5560832,46.69713306
Landsat,01/02/23,Ramanathapuram,41.73796391,71.40032744
SMAP,01/06/23,Dharmapuri,38.13883376,63.07823992
SMAP,01/09/21,Anantapur,51.81563735,97.21974063
SMAP,01/09/24,Ramanathapuram,21.35622168,42.66343498
SMAP,01/05/19,Anantapur,60.24478364,118.2114735
MODIS,01/04/23,Ramanathapuram,20.8545258,19.63676262
Sentinel-2,01/12/22,Dharmapuri,67.315377,135.9568691
AMSR-E,01/12/23,Kurnool,51.98891163,97.10336852
SMAP,01/12/22,Palakkad,67.19299102,135.5458815
Sentinel-2,01/07/20,Anantapur,111.0895848,239.1732626
AMSR-E,01/12/19,Kadapa,8.985807896,0.368981361
AMSR-E,01/08/20,Sivaganga,49.8466723,92.32216263
SMAP,01/03/20,Kurnool,19.22157502,16.76088071
Landsat,01/04/19,Dharmapuri,101.6485791,213.0743718
Landsat,01/07/20,Palakkad,166.1891749,253.4177921
Landsat,01/02/24,Palakkad,82.54434061,172.2231739
SMAP,01/05/20,Dharmapuri,39.83220148,67.32472062
Sentinel-2,01/04/22,Kurnool,108.7683811,239.4866486
MODIS,01/10/21,Kadapa,47.0613966,84.38659668
Sentinel-2,01/06/19,Chitradurga,45.81946731,81.86425185
Landsat,01/10/23,Kadapa,68.6026299,139.0393915
Landsat,01/09/19,Mahbubnagar,53.37056279,101.2156942
AMSR-E,01/12/24,Kadapa,106.3391292,227.7985752
Sentinel-2,01/05/23,Ramanathapuram,35.73032379,57.00722694
SMAP,01/01/22,Koppal,44.20556474,78.04183316
Sentinel-2,01/11/21,Dharmapuri,64.27213025,127.6151435
Sentinel-2,01/03/19,Kurnool,65.43283582,131.2289248
SMAP,01/06/23,Raichur,1.480649948,0.464887142
Sentinel-2,01/08/22,Sivaganga,128.1558354,236.9337924
AMSR-E,01/07/22,Anantapur,131.1805658,248.1903064
Landsat,01/06/20,Chitradurga,77.93420625,159.9680641
MODIS,01/01/21,Idukki,127.6487305,253.2854247
Landsat,01/01/23,Idukki,71.30902839,145.766145
SMAP,01/05/23,Ramanathapuram,35.73032379,57.00722694
Landsat,01/05/23,Sivaganga,44.43898463,78.7662909
AMSR-E,01/09/20,Kadapa,16.39425278,9.614170313
MODIS,01/10/19,Chitradurga,67.57702899,135.6779675
SMAP,01/07/22,Mahbubnagar,110.4835446,233.3846161
AMSR-E,01/05/20,Koppal,30.14182782,61.97367406
Landsat,01/07/19,Raichur,71.97342253,147.6309311
Landsat,01/02/23,Dharmapuri,38.66163588,64.48947477
AMSR-E,01/02/20,Chitradurga,60.37670922,118.6288619
AMSR-E,01/01/21,Ramanathapuram,24.22953773,28.22728848
SMAP,01/06/23,Sivaganga,87.10464787,182.0690637
MODIS,01/05/23,Chitradurga,65.9657855,130.364188
AMSR-E,01/03/24,Idukki,8.587894201,0.172441244
AMSR-E,01/02/19,Koppal,25.83867073,49.3922627
MODIS,01/08/24,Ramanathapuram,4.180699825,4.909493208
MODIS,01/07/21,Dharmapuri,25.34305215,31.00366926
Sentinel-2,01/09/20,Mahbubnagar,129.4707768,254.9903333
Sentinel-2,01/10/21,Koppal,99.83390903,217.0230494
MODIS,01/08/24,Vijayapura,94.37315655,200.8247211
Sentinel-2,01/05/22,Vijayapura,55.07067561,113.5641282
AMSR-E,01/01/20,Dharmapuri,129.4321048,254.9786522
MODIS,01/05/22,Kadapa,124.68609,238.937052
Landsat,01/05/20,Kadapa,35.71260333,57.00107312
Landsat,01/09/20,Koppal,166.825053,254.5062277
MODIS,01/09/22,Koppal,107.8485639,233.4921625
Landsat,01/09/19,Chitradurga,19.09954476,15.59983993
MODIS,01/09/20,Dharmapuri,11.85519242,3.618659973
MODIS,01/05/19,Sivaganga,57.30785418,110.3073432
Sentinel-2,01/06/19,Mahbubnagar,75.14595246,155.0689285
SMAP,01/11/23,Vijayapura,26.17342186,33.23026538
SMAP,01/11/22,Raichur,13.73540068,6.004303455
MODIS,01/09/21,Sivaganga,52.77565169,99.69042659
Sentinel-2,01/04/24,Sivaganga,44.84931827,79.72568202
Sentinel-2,01/09/22,Kurnool,178.6685297,254.5144026
Landsat,01/02/19,Kadapa,27.3701911,36.3095088
Sentinel-2,01/09/20,Chitradurga,46.69808531,83.25112867
AMSR-E,01/04/19,Dharmapuri,101.6485791,213.0743718
SMAP,01/07/23,Palakkad,39.73173332,67.09305716
AMSR-E,01/03/24,Kurnool,48.59879231,89.22200894
SMAP,01/04/20,Anantapur,42.71564412,74.55785847
AMSR-E,01/10/23,Koppal,63.65684509,126.7289844
AMSR-E,01/09/19,Sivaganga,41.10401392,70.53637743
MODIS,01/05/23,Mahbubnagar,17.61436629,12.21519923
Sentinel-2,01/06/19,Anantapur,36.58635259,59.29298377
AMSR-E,01/02/20,Mahbubnagar,67.74155998,135.9117198
MODIS,01/10/19,Mahbubnagar,47.81210876,87.11730218
SMAP,01/07/22,Chitradurga,60.55914903,116.2523003
AMSR-E,01/05/21,Sivaganga,31.88164783,47.41098356
Landsat,01/12/24,Koppal,24.88646507,50.74664235
SMAP,01/09/21,Idukki,128.2126942,254.9949803
MODIS,01/03/20,Kurnool,19.22157502,16.76088071
Landsat,01/07/20,Anantapur,111.0895848,239.1732626
Sentinel-2,01/09/22,Kadapa,22.52282381,24.10108089
SMAP,01/04/24,Vijayapura,102.5904779,202.0252793
Sentinel-2,01/05/22,Koppal,40.82299614,84.88514709
MODIS,01/07/24,Anantapur,45.56922054,80.99760151
MODIS,01/10/22,Ramanathapuram,21.71129632,43.07778311
Landsat,01/06/20,Mahbubnagar,29.60837793,41.7264235
SMAP,01/01/24,Ramanathapuram,66.52814746,133.3664067
SMAP,01/12/24,Vijayapura,78.56610823,162.8184731
Landsat,01/11/21,Sivaganga,16.55336428,13.21096945
Sentinel-2,01/02/20,Anantapur,20.2149992,19.79029751
AMSR-E,01/07/19,Chitradurga,33.10847569,50.51037097
Sentinel-2,01/12/24,Kurnool,89.80073357,191.5788765
SMAP,01/12/21,Sivaganga,65.58623958,131.667655
AMSR-E,01/12/23,Chitradurga,58.94235206,114.8974025
AMSR-E,01/02/23,Kurnool,36.65605617,59.43438196
Sentinel-2,01/09/20,Dharmapuri,11.85519242,3.618659973
Landsat,01/03/19,Anantapur,10.98134184,2.174295902
MODIS,01/05/22,Vijayapura,55.07067561,113.5641282
SMAP,01/06/23,Koppal,51.11616516,95.51242685
MODIS,01/10/19,Kadapa,18.77373147,14.77686977
Landsat,01/03/19,Chitradurga,84.28963947,174.1998124
AMSR-E,01/12/19,Dharmapuri,32.0838964,47.91960287
MODIS,01/01/20,Sivaganga,129.3692846,254.9848526
Landsat,01/06/22,Idukki,53.26482344,100.9787531
MODIS,01/06/19,Raichur,81.08669281,170.4545286
MODIS,01/06/20,Idukki,61.32763243,120.7758908
SMAP,01/07/23,Vijayapura,13.65185714,12.19936323
Sentinel-2,01/11/24,Idukki,11.4452517,3.91487956
Sentinel-2,01/10/19,Koppal,41.18660402,69.9499979
Landsat,01/01/24,Sivaganga,66.67023015,134.3616984
AMSR-E,01/02/21,Koppal,81.63514495,168.9184477
AMSR-E,01/12/23,Ramanathapuram,28.33661366,38.44345164
Landsat,01/05/19,Vijayapura,91.91851807,193.7513118
SMAP,01/09/21,Kurnool,81.38267684,171.0462651
MODIS,01/01/19,Idukki,64.97639632,130.0667167
Sentinel-2,01/03/20,Chitradurga,11.7689333,2.571642399
MODIS,01/01/22,Raichur,21.14704466,20.48890591
Sentinel-2,01/01/24,Ramanathapuram,66.52814746,133.3664067
SMAP,01/02/24,Sivaganga,6.445739985,0.106356859
AMSR-E,01/08/20,Mahbubnagar,70.58746505,144.181469
SMAP,01/05/24,Palakkad,18.18197966,13.63108063
Sentinel-2,01/11/21,Raichur,26.13477731,33.31164885
MODIS,01/11/21,Dharmapuri,64.27213025,127.6151435
Landsat,01/03/19,Mahbubnagar,67.3411746,135.4602244
SMAP,01/10/22,Anantapur,28.16966224,38.13959289
Landsat,01/02/21,Kadapa,5.854151487,0.033978939
MODIS,01/02/23,Kadapa,8.055768728,0.235598803
AMSR-E,01/12/23,Mahbubnagar,13.16887188,4.235646725
Sentinel-2,01/06/20,Raichur,34.6672523,54.29861975
AMSR-E,01/07/19,Mahbubnagar,87.25132346,185.7598336
SMAP,01/07/24,Raichur,26.98080468,35.3277719
AMSR-E,01/11/23,Sivaganga,84.82550502,179.5141323
SMAP,01/09/22,Vijayapura,153.6218214,247.0917227
Sentinel-2,01/07/21,Dharmapuri,25.34305215,31.00366926
SMAP,01/08/24,Koppal,60.3021462,117.8166351
SMAP,01/04/21,Kurnool,8.320924044,0.088487864
SMAP,01/09/19,Idukki,147.3516648,254.9027588
Landsat,01/01/24,Dharmapuri,130.4486263,254.9976754
SMAP,01/04/24,Kadapa,87.31318092,182.0847921
AMSR-E,01/08/20,Chitradurga,33.0334146,50.44346523
AMSR-E,01/03/23,Vijayapura,48.82214546,97.57686114
Sentinel-2,01/08/24,Vijayapura,94.37315655,200.8247211
SMAP,01/12/19,Palakkad,129.6886315,254.9965997
Landsat,01/05/20,Ramanathapuram,47.83437991,86.79829669
Sentinel-2,01/03/20,Mahbubnagar,24.31910849,28.36370969
MODIS,01/03/23,Anantapur,81.07770443,168.3139594
AMSR-E,01/12/19,Kurnool,20.48272204,18.87391925
Sentinel-2,01/02/23,Koppal,26.8014431,54.60833669
